time,RegionName,value
2013-12-01,89503,176000.0
2013-12-01,89081,166300.0
2013-12-01,89141,223900.0
2013-12-01,89011,183500.0
2013-12-01,89142,123200.0
2013-12-01,89434,184100.0
2013-12-01,89145,150900.0
2013-12-01,89084,201100.0
2013-12-01,89701,161600.0
2013-12-01,89801,229800.0
2013-12-01,89120,163800.0
2013-12-01,89044,268700.0
2013-12-01,89156,126600.0
2013-12-01,89048,138800.0
2013-12-01,89118,175100.0
2013-12-01,89706,161100.0
2013-12-01,89408,135500.0
2013-12-01,89166,204700.0
2013-12-01,89144,252300.0
2013-12-01,89146,218100.0
2013-12-01,89027,178600.0
2013-12-01,89403,163300.0
2013-12-01,89433,153900.0
2013-12-01,89005,225100.0
2013-12-01,89138,312700.0
2013-12-01,89460,214700.0
2013-12-01,89423,284300.0
2013-12-01,89410,257800.0
2013-12-01,89815,235900.0
2013-12-01,89029,149900.0
2013-12-01,89109,183200.0
2013-12-01,89508,173500.0
2013-12-01,89703,250200.0
2013-12-01,89441,275000.0
2013-12-01,89060,96300.0
2013-12-01,89143,185300.0
2013-12-01,89519,389200.0
2013-12-01,89447,109500.0
2013-12-01,89179,221600.0
2013-12-01,89429,102800.0
2013-12-01,89061,136500.0
2013-12-01,89451,699300.0
2013-12-01,89501,202600.0
2013-12-01,89705,212200.0
2013-12-01,89510,280300.0
2013-12-01,89086,181400.0
2013-12-01,89448,497200.0
2013-12-01,89704,257500.0
2013-12-01,89449,280400.0
2013-12-01,89040,138600.0
2013-12-01,89444,229700.0
2013-12-01,89085,240900.0
2013-12-01,89034,268000.0
2013-12-01,89021,193700.0
2013-12-01,89439,322200.0
2013-12-01,89411,523300.0
2013-12-01,89124,207200.0
2013-12-01,89440,146700.0
2013-12-01,89413,1431800.0
2013-12-01,89155,261200.0
2014-01-01,89108,129700.0
2014-01-01,89121,125900.0
2014-01-01,89117,245500.0
2014-01-01,89052,322700.0
2014-01-01,89123,206900.0
2014-01-01,89031,153700.0
2014-01-01,89110,111800.0
2014-01-01,89074,214800.0
2014-01-01,89103,154200.0
2014-01-01,89148,222700.0
2014-01-01,89147,179700.0
2014-01-01,89119,139600.0
2014-01-01,89129,191800.0
2014-01-01,89122,138600.0
2014-01-01,89115,97900.0
2014-01-01,89502,146200.0
2014-01-01,89014,188100.0
2014-01-01,89131,228500.0
2014-01-01,89509,288100.0
2014-01-01,89436,246100.0
2014-01-01,89015,152100.0
2014-01-01,89128,190900.0
2014-01-01,89523,260000.0
2014-01-01,89104,111300.0
2014-01-01,89012,245300.0
2014-01-01,89030,66900.0
