,time,CPI,real_GDP,inflation,unemployment_rate,population,household_income,population_density,RegionName,SizeRank,City,Metro,CountyName,value
153,2005-02-01,195.7705868684855,14936.205271390412,3.414396514449841,5.255459005080975,2386,53374,8.064633707567292,89444,12104,Wellington,Gardnerville Ranchos,Douglas,310000.0
154,2005-02-01,195.7705868684855,14936.205271390412,3.414396514449841,5.255459005080975,6931,42182,9.088306747182026,89447,8933,Yerington,Fernley,Lyon,342500.0
155,2005-02-01,195.7705868684855,14936.205271390412,3.414396514449841,5.255459005080975,3368,353984,133.15493027787957,89451,10516,Incline Village,Reno,Washoe,883200.0
156,2005-02-01,195.7705868684855,14936.205271390412,3.414396514449841,5.255459005080975,10777,63555,198.80100165922622,89460,7326,Gardnerville,Gardnerville Ranchos,Douglas,307700.0
157,2005-02-01,195.7705868684855,14936.205271390412,3.414396514449841,5.255459005080975,3928,52800,6235.358888461097,89501,10635,Reno,Reno,Washoe,262800.0
158,2005-02-01,195.7705868684855,14936.205271390412,3.414396514449841,5.255459005080975,37473,43154,1683.4595520488888,89502,823,Reno,Reno,Washoe,248000.0
159,2005-02-01,195.7705868684855,14936.205271390412,3.414396514449841,5.255459005080975,19915,42645,3068.6995295413217,89503,3250,Reno,Reno,Washoe,274600.0
160,2005-02-01,195.7705868684855,14936.205271390412,3.414396514449841,5.255459005080975,42451,44453,449.1252182860721,89506,2105,Reno,Reno,Washoe,253500.0
161,2005-02-01,195.7705868684855,14936.205271390412,3.414396514449841,5.255459005080975,30929,90129,3455.835893893002,89509,1457,Reno,Reno,Washoe,418300.0
162,2005-02-01,195.7705868684855,14936.205271390412,3.414396514449841,5.255459005080975,3037,102039,2.936449152078533,89510,10877,Sparks,Reno,Washoe,401400.0
163,2005-02-01,195.7705868684855,14936.205271390412,3.414396514449841,5.255459005080975,24680,152282,165.5976038106441,89511,3010,Reno,Reno,Washoe,674200.0
164,2005-02-01,195.7705868684855,14936.205271390412,3.414396514449841,5.255459005080975,18595,29773,2951.650606707944,89512,4224,Reno,Reno,Washoe,255400.0
165,2005-02-01,195.7705868684855,14936.205271390412,3.414396514449841,5.255459005080975,13696,68750,1568.9351743478271,89002,3042,Henderson,Las Vegas,Clark,333500.0
166,2005-02-01,195.7705868684855,14936.205271390412,3.414396514449841,5.255459005080975,13469,76350,110.01776339905926,89005,6533,Boulder City,Las Vegas,Clark,322300.0
167,2005-02-01,195.7705868684855,14936.205271390412,3.414396514449841,5.255459005080975,5940,244248,762.6103089721529,89519,8568,Reno,Reno,Washoe,603800.0
168,2005-02-01,195.7705868684855,14936.205271390412,3.414396514449841,5.255459005080975,18140,81922,236.57463711616074,89521,2607,Reno,Reno,Washoe,360600.0
169,2005-02-01,195.7705868684855,14936.205271390412,3.414396514449841,5.255459005080975,25294,58595,1342.5921967975426,89523,1945,Reno,Reno,Washoe,372200.0
170,2005-02-01,195.7705868684855,14936.205271390412,3.414396514449841,5.255459005080975,24638,86446,2243.9731253417726,89012,1985,Henderson,Las Vegas,Clark,387100.0
171,2005-02-01,195.7705868684855,14936.205271390412,3.414396514449841,5.255459005080975,7328,154937,431.0649742461087,89011,3764,Henderson,Las Vegas,Clark,287600.0
172,2005-02-01,195.7705868684855,14936.205271390412,3.414396514449841,5.255459005080975,33252,57485,4386.8295642808225,89014,1373,Henderson,Las Vegas,Clark,322500.0
173,2005-02-01,195.7705868684855,14936.205271390412,3.414396514449841,5.255459005080975,55429,50011,1478.5019041764897,89015,1754,Henderson,Las Vegas,Clark,263600.0
174,2005-02-01,195.7705868684855,14936.205271390412,3.414396514449841,5.255459005080975,8844,63136,299.91564821302774,89027,6027,Mesquite,Las Vegas,Clark,216800.0
175,2005-02-01,195.7705868684855,14936.205271390412,3.414396514449841,5.255459005080975,5207,51279,55.36013152632452,89029,7788,Laughlin,Las Vegas,Clark,210700.0
176,2005-02-01,195.7705868684855,14936.205271390412,3.414396514449841,5.255459005080975,48188,28598,5148.387111546654,89030,1999,North Las Vegas,Las Vegas,Clark,224400.0
177,2005-02-01,195.7705868684855,14936.205271390412,3.414396514449841,5.255459005080975,53851,47127,5662.650507275834,89031,353,North Las Vegas,Las Vegas,Clark,280900.0
178,2005-02-01,195.7705868684855,14936.205271390412,3.414396514449841,5.255459005080975,34948,42159,3409.63478214173,89032,2088,North Las Vegas,Las Vegas,Clark,256900.0
179,2005-02-01,195.7705868684855,14936.205271390412,3.414396514449841,5.255459005080975,3153,50515,6.0487888478766765,89040,12016,Overton,Las Vegas,Clark,190200.0
180,2005-02-01,195.7705868684855,14936.205271390412,3.414396514449841,5.255459005080975,7130,74192,227.30022337937618,89044,4804,Henderson,Las Vegas,Clark,393000.0
181,2005-02-01,195.7705868684855,14936.205271390412,3.414396514449841,5.255459005080975,14283,48107,186.42006450035726,89048,5220,Pahrump,Pahrump,Nye,309400.0
